Timestamp,Domain,Mode,Server_IP,Step,Response,RTT(s),Total_Time(s),Cache_Status
2025-10-28 08:08:39,google.com,Rec,198.41.0.4,.,Referral,0.1820,0.1955,MISS
2025-10-28 08:08:39,google.com,Rec,192.33.14.30,com,Referral,0.2659,0.4780,MISS
2025-10-28 08:08:42,google.com,Rec,216.239.38.10,google.com,No Response,3.0065,3.4933,MISS
2025-10-28 08:08:43,google.com,Rec,216.239.34.10,google.com,Answer,0.0267,3.5304,MISS
2025-10-28 08:32:18,yahoo.com,Rec,198.41.0.4,.,Referral,0.1550,0.1755,MISS
2025-10-28 08:32:18,yahoo.com,Rec,192.48.79.30,com,Referral,0.2263,0.4266,MISS
2025-10-28 08:32:18,yahoo.com,Rec,202.165.97.53,yahoo.com,Answer,0.0932,0.5325,MISS
2025-10-28 08:42:48,wpad,Rec,198.41.0.4,.,Empty Response,0.2626,0.2697,MISS
2025-10-28 08:42:48,wpad,Rec,199.9.14.201,.,Empty Response,0.2888,0.5735,MISS
2025-10-28 08:42:48,wpad,Rec,192.33.4.12,.,Empty Response,0.0849,0.6685,MISS
2025-10-28 08:42:48,wpad,Rec,-,.,Failed,0.0000,0.6779,MISS
2025-10-28 08:43:14,wpad,Rec,198.41.0.4,.,Empty Response,0.1661,0.1694,MISS
2025-10-28 08:43:14,wpad,Rec,199.9.14.201,.,Empty Response,0.3350,0.5221,MISS
2025-10-28 08:43:14,wpad,Rec,192.33.4.12,.,Empty Response,0.0864,0.6192,MISS
2025-10-28 08:43:14,wpad,Rec,-,.,Failed,0.0000,0.6257,MISS
2025-10-28 08:43:14,tuhafhaberler.com,Rec,198.41.0.4,.,Referral,0.2125,0.2439,MISS
2025-10-28 08:43:15,tuhafhaberler.com,Rec,192.41.162.30,com,Empty Response,0.1690,0.4192,MISS
2025-10-28 08:43:15,tuhafhaberler.com,Rec,-,com,Failed,0.0000,0.4243,MISS
2025-10-28 08:43:15,rtsab.com,Rec,192.41.162.30,rtsab.com,Referral,0.1443,0.1505,HIT
2025-10-28 08:43:15,rtsab.com,Rec,193.14.90.50,rtsab.com,Empty Response,0.1948,0.3558,HIT
2025-10-28 08:43:15,rtsab.com,Rec,-,rtsab.com,Failed,0.0000,0.3688,HIT
2025-10-28 08:43:15,i-butterfly.ru,Rec,198.41.0.4,.,Referral,0.1493,0.1645,MISS
2025-10-28 08:43:16,i-butterfly.ru,Rec,193.232.128.6,ru,Referral(NoGlue),0.2353,0.4135,MISS
2025-10-28 08:43:16,i-butterfly.ru,Rec,-,ru,Failed,0.0000,0.4206,MISS
